country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"Exotic spice and bramble notes accent rich, ripe aromas of blackberry preserves on this perfumed Bordeaux-style red. A blend of Cabernet Franc and Merlot, there's a plush, primary fruitiness to the palate, but it's elegantly structured with bright cranberry acidity and finely-grained tannins that add texture to the finish.",White Horse Unfined & Unfiltered,88,26.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Bloomer Creek 2008 White Horse Unfined & Unfiltered Red (Finger Lakes),Bordeaux-style Red Blend,Bloomer Creek
US,"Tart, tangy lemon flavor meets green apple and quince in this lush, oaky wine. Its texture is robust.",,85,26.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Ty Caton 2016 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Ty Caton
US,"This distinctive, complex and layered wine brings a unique aromatic profile of raspberries, sage and spice before fanning out across the palate with gorgeous raspberry syrup, dark chocolate and blackberry flavors. Its lightly grippy texture of fine-grained tannins perfectly counters the plush effusiveness of its fruit.",Scottsdale Vineyard,93,34.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Harney Lane 2014 Scottsdale Vineyard Zinfandel (Lodi),Zinfandel,Harney Lane
Austria,"Ripe and perfumed, this has almond, apple and baked-pear flavors that are layered with notes of nutmeg and pepper. It's a concentrated wine, with acidity that has become rounded. Made from a top Kamptal vineyard, this has the potential for aging further. Screwcap.",Kammerner Lamm Reserve,93,57.0,Kamptal,,,Roger Voss,@vossroger,Hirsch 2010 Kammerner Lamm Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Hirsch
US,"This is very rich, ripe and oaky, but a little over the top, with strong flavors of buttered toast, caramel, orange jam and spice. An outgoing wine crafted in the popular style.",Bien Nacido Vineyard,87,40.0,California,Santa Barbara County,Central Coast,,,Conway 2009 Bien Nacido Vineyard Chardonnay (Santa Barbara County),Chardonnay,Conway
France,"This smoky wine has firm tannins and a tough core. The juicy fruit is taking its time to develop, although it will give the wine density and ripe berries in time. The vineyard, created in the early 1980s is now at peak maturity. Drink from 2017.",,87,18.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Lacombe Noaillac 2012  Médoc,Bordeaux-style Red Blend,Château Lacombe Noaillac
Peru,"Hot and leathery up front, with stewy notes and candied red fruit aromas. The palate features smacking tannic bite along with foxy-tasting red fruit. Turns medicinal on the finish.",Gran Tinto,81,10.0,Ica,,,Michael Schachner,@wineschach,Tacama 2009 Gran Tinto Red (Ica),Red Blend,Tacama
Austria,Unusual hints of mango hint at very ripe fruit. The slender palate counters this aromatic abundance with tenderly fresh notes of lemon zest and wood sorrel. The result is both delicious and refreshing.,Neuberg,90,13.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Forstreiter 2015 Neuberg Grüner Veltliner (Kremstal),Grüner Veltliner,Forstreiter
Italy,"This lovely expression of Arneis has an enticing floral and fruit fragrance. The palate is medium-bodied and fresh, with creamy green-apple and exotic fruit sensations. This is perfect with insalata Caprese or fish dishes.",Capural,89,16.0,Piedmont,Roero,,Kerin O’Keefe,@kerinokeefe,Montaribaldi 2012 Capural  (Roero),Arneis,Montaribaldi
Greece,"Honey, lemon and an herbal spin on the nose give this wine a distinctive start. Flavors of clean, zesty citrus and a spin of ripe melon add to the elegance. Easy to drink but elegant.",Demestica White,88,13.0,Peloponnese,,,Susan Kostrzewa,@suskostrzewa,Achaia Clauss 2015 Demestica White Moschofilero (Peloponnese),Moschofilero,Achaia Clauss
US,"This has a grand array of exotic flinty, meaty, smoky and spicy aromas. The powerful flavors taste a bit restrained at first sip, then unfold and seem to expand on the palate. Pure and brilliant layers of ripe blackberry, smoked herbs and darkest chocolate ride on an elegant texture of fine tannins and supportive acidity. Drink from 2018–2030.",Ascent,96,90.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Terre Rouge 2012 Ascent Syrah (Sierra Foothills),Syrah,Terre Rouge
Italy,"Ethereal aromas of wild berry, rose petal, dark spice and a light balsamic note swirl around the glass. The juicy elegantly structured palate delivers black cherry, raspberry compote, licorice and a hint of cinnamon framed in bright acidity and tightly knit but refined tannins. It's already approachable but will be even better in 2019.",,94,290.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Poggio di Sotto 2012  Brunello di Montalcino,Sangiovese,Poggio di Sotto
US,"A perfect shade of medium pink, this is a standard, down-the-middle rose. Lemon, watermelon and fresh-cut cherry-tomato notes play on the nose, while the palate packs raspberry and Key-lime flavors.",Rosé of,87,17.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Silver Mountain 2014 Rosé of Pinot Noir (Santa Cruz Mountains),Pinot Noir,Silver Mountain
France,"Firm tannins here and rich fruit underneath, but the wine is spoilt by the banana flavor that intrudes. Perhaps recent bottling has brought this out, in which case a few months wait will see the full potential.",Domaine Javernières,89,15.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Georges Duboeuf 2010 Domaine Javernières  (Morgon),Gamay,Georges Duboeuf
US,"Unoaked, and instead fermented for 10 months in both stainless steel and concrete egg, this white remains light-bodied and crisp, touched by aromas of honeysuckle and refreshing flavors of pear and quince.",Sons and Daughters Ranch Estate,88,25.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Thomas George 2014 Sons and Daughters Ranch Estate Chardonnay (Russian River Valley),Chardonnay,Thomas George
France,"This is Yohan Lardy's top wine, produced from vines planted in 1903. Dark and dense although shot with acidity, the wine is firm and concentrated. It layers a floral character with minerality and black fruits. The wine needs to age further, so drink from 2018.",Vieilles Vignes de 1903,92,30.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Yohan Lardy 2014 Vieilles Vignes de 1903  (Moulin-à-Vent),Gamay,Yohan Lardy
US,"A really nice, versatile white wine to have with everything from salad Nicoise to roast chicken and pork enchiladas. Crisply acidic and bone dry, it shows tasty lemon and lime flavors, lots of pepper and a hint of gooseberry.",Block Colection Russian River Ranches,90,20.0,California,Russian River Valley,Sonoma,,,Geyser Peak 2007 Block Colection Russian River Ranches Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Geyser Peak
US,"A seductive smoky, earthy aroma leads to big and tart cranberry and raspberry flavors, surrounded by a velvety blanket of fine tannins that make the wine lip-smacking and mouthwatering. There is somewhat more frame than filling, so this will appeal more to fans of tension and elegance than power.",Block 8,91,85.0,California,Sonoma Coast,Sonoma,Jim Gordon,@gordone_cellars,Hirsch 2012 Block 8 Pinot Noir (Sonoma Coast),Pinot Noir,Hirsch
US,"There's a beechwood smoke touch to the nose of this bottling, accenting a core of dried purple flowers and black raspberry. It's well integrated on the palate, where smoke and dark, tangy fruit mix with white pepper and an acidity that carries its flavors into the finish.",Creekside Estate,91,32.0,California,San Luis Obispo County,Central Coast,Matt Kettmann,@mattkettmann,Stolo 2014 Creekside Estate Pinot Noir (San Luis Obispo County),Pinot Noir,Stolo
Italy,"Graphite, black currants, mocha and spice aromas emerge from the glass. Made with Cabernet Franc, Merlot, Cabernet Sauvignon and Petit Verdot, the rich, smooth palate doles out ripe red cherry, crushed black raspberry, dark chocolate, espresso and licorice wrapped in soft, silky tannins. Drink through 2019.",Biserno,94,175.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Tenuta di Biserno 2010 Biserno Red (Toscana),Red Blend,Tenuta di Biserno
US,"Scott Sampler is employing some avant-garde techniques in his winemaking, including extra long macerations, but this blend of 50% Grenache, 25% Mourvèdre and 25% Syrah is relatively straightforward. Aromas of stewed blackberry and red currant meet with licorice spice and a leathery richness on the nose. The palate shows black raspberry, vanilla dust, gingerbread and minty tarragon, laid upon a still-tight texture with lively acidity.",Barrington Hall Wine Dinner Special Cuvée,92,75.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Central Coast Group Project 2013 Barrington Hall Wine Dinner Special Cuvée Red (Santa Barbara County),Rhône-style Red Blend,Central Coast Group Project
Canada,"Medium cherry in color with notes of raspberry jam, wet stone, mint and cherry. This wine is viscous in mouthfeel with sweet, focused fruit flavors that almost reach excessive but pull back just in time.",No. 99 Icewine,92,95.0,Ontario,Niagara Peninsula,,Sean P. Sullivan,@wawinereport,Wayne Gretzky Estates 2012 No. 99 Icewine Cabernet Franc (Niagara Peninsula),Cabernet Franc,Wayne Gretzky Estates
US,"Earth, spice and plum combine around a lean frame that's dusty and sublime in this high-acid wine that features a muscular, caramel-laced finish. In balance, this is lovely and food friendly.",Pommard Clones,90,72.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Papapietro Perry 2012 Pommard Clones Pinot Noir (Russian River Valley),Pinot Noir,Papapietro Perry
Australia,"Beyond a hint of stuck flint on the nose, this offers clean, varietally correct aromas and flavors of white nectarine, grapefruit and gooseberry. It's nicely balanced in the middle of the spectrum, offering a harmonious mix of stone fruit and citrus.",Beacon Hill,88,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,Beresford
France,"This 60% Merlot and 40% Cabernet Franc blend is very fruity and fresh, balancing dry tannins and attractive red fruit flavors. It is light, still tight with its structure. Drink from 2016.",,83,10.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Buisson-Redon 2013  Bordeaux,Bordeaux-style Red Blend,Château Buisson-Redon
US,"The nose of this bottling is quite shy. After being open for hours, it begins to show dust and soil aromas, like sun-baked clay, crushed rocks and flint. The palate is also hard to decipher, with a little blackberry fruit but mostly dry, flat soil flavors.",,85,20.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Robert Hall 2014 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Robert Hall
US,"Pretty honeysuckle and freesia notes lend a blossomy feel to this supple, impeccably balanced wine. Tart white peach, quince and pineapple flavors are juicy yet bracing on the palate. It ends briskly with a shower of crushed minerals.",,90,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Sheldrake Point 2012 Pinot Gris (Finger Lakes),Pinot Gris,Sheldrake Point
Spain,"A peachy nose includes the botrytis aromas you get in late-harvest Alsace whites and Sauternes. Linear and still lively on the palate, this tastes a bit woody but also of muddled stone fruits. A chunky finish is peachy tasting.",,85,13.0,Northern Spain,Somontano,,Michael Schachner,@wineschach,Batán de Salas 2013 Chardonnay (Somontano),Chardonnay,Batán de Salas
US,"Sourced largely from the Martin Stelling Vineyard, this is a supple, soft wine, with refined tannins. A zippy nose of rose and spice scents paves the way for more powerful leather saddle, cedar and black tea elements. Its fruit is wild and brambly, recalling blackberry and dark cherry with enviable succulence.",Estate Bottled,94,180.0,California,Oakville,Napa,Virginie Boone,@vboone,Far Niente 2014 Estate Bottled Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Far Niente
Chile,"Punchy citrus aromas are natural like they should be for an unoaked wine. Angular and a bit sharp on the palate, this spunky style of Chardonnay deals tart peach and nectarine flavors in front of a fresh finish that's a touch sour.",Reserva Unoaked,87,13.0,Casablanca Valley,,,Michael Schachner,@wineschach,Apaltagua 2015 Reserva Unoaked Chardonnay (Casablanca Valley),Chardonnay,Apaltagua
France,"It begins with an impressive bouquet of ripe cherries and sun-warmed stones, then adds some spicy complexity on the palate. It's round and lush in the mouth without seeming overly ripe or heavy, and boasts a lingering finish.",,89,17.0,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Château d'Aqueria 2007  Tavel,Rosé,Château d'Aqueria
Italy,"This opens with aromas of French oak, weedy underbrush, coffee and a whiff of burned rubber. The palate is muddled, showing dried black cherry, toast, salt and a confectionery note alongside grainy tannins.",Monvigliero,86,,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Arnaldo Rivera 2013 Monvigliero  (Barolo),Nebbiolo,Arnaldo Rivera
Greece,"Elegant white rose and peach aromas lead this delicate white from Greece. Fresh peach, grapefruit and delicate spice on the palate give the wine pretty poise. Overall, a great example of how refined the Greek wines can be.",Mantinia,90,19.0,Mantinia,,,Susan Kostrzewa,@suskostrzewa,Nasiakos 2013 Mantinia Moschofilero (Mantinia),Moschofilero,Nasiakos
Italy,"Fresh, floral and lively, this bright wine offers tones of wild berry, pink grapefruit and crisp green apple. There's enough acidity to balance fried appetizers or cheese-topped pastas.",,86,13.0,Tuscany,Bolgheri,,,,Giorgio Meletti Cavallari 2011 Rosato (Bolgheri),Rosato,Giorgio Meletti Cavallari
US,"Juicy, wooded and herbal, this full-bodied wine is deliciously layered in plum, cherry and blackberry, well composed and sourced from a site in Yountville. The grippy texture is accented in dark chocolate that gives velvety lushness that lasts through the finish.",Giuliani Vineyard,94,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Peter Paul Wines 2013 Giuliani Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Peter Paul Wines
Italy,"Vajasindi Làvico is a lively expression of Nerello Mascalese that is redolent of capers, black olives, black fruit and exotic spice. The wine is sharp and intense in the mouth, with a bright personality and some chewy, ripe fruit notes on the close.",Vajasindi Làvico,89,18.0,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2005 Vajasindi Làvico Nerello Mascalese (Sicilia),Nerello Mascalese,Duca di Salaparuta
US,"Made from equal proportions of Tempranillo and Garnacha from the winery's estate vineyard, this young wine is barrel forward with notes of char, toast and mocha. The fruit flavors are light and juicy with cranberry and barrel spices extending through the finish.",Tradición,87,32.0,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Jaxon 2011 Tradición Red (Rogue Valley),Red Blend,Jaxon
US,"Okay for barbecue, but kind of simple and soft in structure, and sweet. It shows candied flavors of a chocolate-covered blackberry and cherry power bar with nougat and honey-roasted nuts.",CabOvation Reserve,84,60.0,California,Paso Robles,Central Coast,,,Hunt Cellars 2004 CabOvation Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Hunt Cellars
Israel,"Refreshing from the first whiff of green apple, fuchsia, and almond blossom, it has flavors of peach, eucalyptus, green apple, and white flowers. Harmonious tannins persist to the bright note of the vanilla custard and orange zest finish, undercut by strong minerality.",Hermon,90,14.0,Galilee,,,Mike DeSimone,@worldwineguys,Golan Heights Winery 2012 Hermon White (Galilee),White Blend,Golan Heights Winery
US,"Made by longtime Domaine Chandon still-wine Winemaker Joel Burt, this red offers delicious value, sourcing from sites within the Russian River, Sonoma Coast and Carneros AVAs. Coolness and restraint are the guides, the wine light in color and texture, with just touches of spice, strawberry and tea. It finishes juicy, with a citrus flair.",,90,25.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Smoke Tree 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Smoke Tree
South Africa,"This is lively and bright, with opening aromas of gooseberry, green plum, fresh grass and lime rind. The light-weight palate offers flavors of crisp stone fruit and lime oil, with a brisk acidity that carries through to the clean finish. Drink now.",,88,15.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Jardin 2012 Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Jardin
US,"Tasty and rich, but the structure is more like a Rhône wine than Pinot Noir. It's dark and heavy, with cherry pie filling, cola and sandalwood flavors. Curiously soft for an Edna Valley wine. Drink now.",,85,30.0,California,Edna Valley,Central Coast,,,Stephen Ross 2007 Pinot Noir (Edna Valley),Pinot Noir,Stephen Ross
Chile,"This wine from Francisco Gillmore is earthy and full of tomato and leather aromas. The palate is also a bit like tomato and herbs. The finish is tangy, courtesy of healthy acids, while the finish is tannic and a touch hot.",Concepción,81,7.0,Maule Valley,,,Michael Schachner,@wineschach,Francisco Gillmore 2000 Concepción Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Francisco Gillmore
France,"Bold fruits dominate this ripe wine. As an estate under the guidance of Hubert de Boüard of Château Angélus, it has made enormous progress. Big tannins are enveloped in the ripe fruit to give a wine that is sumptuous and rich. Drink from 2023.",,92,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Daugay 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Daugay
France,"Like many of Denis Pommier's wines, this comes from old vines, and the concentration is testament to that. The texture is rich, touched by honeyed wood, with peaches in syrup ripeness. As a contrast, there is also a fresh, red apple acidity, which gives a lift to the aftertaste.",Croix aux Moines,86,34.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Pommier 2007 Croix aux Moines  (Chablis),Chardonnay,Domaine Pommier
Austria,"No mistaking the spicy Traminer aromas here, nor the ripe lychee flavored wine. It isnt just spice, with a good line of fresh acidity as well as attractive green plum fruit flavors. Screwcap.",Traminer Classic,87,19.0,Burgenland,,,Roger Voss,@vossroger,Münzenrieder 2008 Traminer Classic Traminer (Burgenland),Traminer,Münzenrieder
US,"Soft and a little sweet in sugar and honey, yet shows Gewürz's spices, with abundantly ripe tropical fruit, citrus, vanilla and honeysuckle flavors.",,85,10.0,California,Santa Barbara County,Central Coast,,,Courtney Benham 2010 Gewürztraminer (Santa Barbara County),Gewürztraminer,Courtney Benham
US,"Reductive on first pour, this wine opens to display aromas of freshly sliced red apple and melon. It drinks a hair off dry, with a fleshy, full feel.",,86,16.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Wind Rose 2014 Pinot Grigio (Yakima Valley),Pinot Grigio,Wind Rose
South Africa,"The regular cuvée from Glen Carlou is a weighty wine, spicy, with toffee and cream flavors and some attractive green fruit to give it a fresh aftertaste. While this is not as serious as the Reserve Chardonnay, it makes a delicious apèritif wine, that will pair well with light fish dishes.",,86,14.0,Paarl,,,Roger Voss,@vossroger,Glen Carlou 2000 Chardonnay (Paarl),Chardonnay,Glen Carlou
France,"A super-rich wine, packed with peach and green plum fruits, layers of wood and an intense concentration. An impressive wine that shows weight and richness as well as style.",Les Clos Grand Cru,93,76.0,Burgundy,Chablis,,Roger Voss,@vossroger,Pascal Bouchard 2007 Les Clos Grand Cru  (Chablis),Chardonnay,Pascal Bouchard
US,"From the mountains above the winery, this blends 39% Cabernet Sauvignon, 34% Cabernet Franc, 24% Petit Verdot and 3% Malbec. The result is a harmonious palate of dried herb, cedar and pungent violet flavors. Full-bodied concentration makes it rugged, accented with toasted oak.",,90,100.0,California,Moon Mountain District Sonoma County,Sonoma,Virginie Boone,@vboone,Kunde 2013 Red (Moon Mountain District Sonoma County),Bordeaux-style Red Blend,Kunde
US,"Apple blossom, pear, honeysuckle and gin botanical aromas show on the nose of this bottling from eastern Paso Robles. The flavors are very floral and ripe, evoking honeydew melon, candied pear and vanilla.",,87,24.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Cass 2015 Viognier (Paso Robles),Viognier,Cass
South Africa,"This is great Chenin Blanc, wood fermented but still leaving all the varietal character. Rich, creamy, almond flavors and silky smooth, which keeps all the essential acidity of the grape, with added spice and vanilla.",Hope Marguerite,90,,Walker Bay,,,Roger Voss,@vossroger,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont
Portugal,"This wine is crisp in lemon acidity while also having a strong, tight mineral texture. Produced from Arinto and Antão Vaz, it has bright grapefruit and apple flavors, with hints of exotic apricot and pineapple. Drink now.",,87,22.0,Península de Setúbal,,,Roger Voss,@vossroger,Herdade da Comporta 2014 White (Península de Setúbal),Portuguese White,Herdade da Comporta
France,"A fruity, very young wine, it has red berry fruits balanced by a dry texture. While it is full of fruits, it does need to broaden out and bring in some balanced structure. Give it until 2015.",Déese Méditrina,85,16.0,Southwest France,Cahors,,Roger Voss,@vossroger,Domaine du Théron 2012 Déese Méditrina Malbec (Cahors),Malbec,Domaine du Théron
US,Aromas suggest red and blue fruit along with butterscotch and wood spice. The fruit flavors are sweet and rich with abundant woodspice accents and chewy tannins.,,88,32.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Patterson 2012 Merlot (Columbia Valley (WA)),Merlot,Patterson
US,"This is one of the better Tempranillos from Washington, with concentrated boysenberry, blueberry and raspberry fruit anchoring the flavors. It carries a nice whiff of bacon fat and is buoyed by a natural minerality.",,90,30.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Patterson 2010 Tempranillo (Columbia Valley (WA)),Tempranillo,Patterson
Chile,"This is Veramonte's top red. But frankly, it's green, herbal and difficult to enjoy. The nose offers plenty of green olive, while the heart of the wine is herbal and only gift-wrapped with coatings of blackberry and currant.",,82,20.0,Casablanca Valley,,,Michael Schachner,@wineschach,Primus 2000 Red (Casablanca Valley),Red Blend,Primus
France,Laurent Dufouleur is the current director of Tramier and has created a series of wines under his name. This wood and red-fruit-flavored wine is likely to be attractively ripe and jammy as the wood softens and integrates. There is fine acidity at the end and the wine will be ready to drink from 2019.,Laurent Dufouleur Cuvée Grégoire,88,30.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,L. Tramier & Fils 2015 Laurent Dufouleur Cuvée Grégoire  (Bourgogne),Pinot Noir,L. Tramier & Fils
US,"Heavy in alcohol and overripe, but entirely dry, and the black currant, chocolate and pepper flavors will play well against richly sauced barbecue.",The Caboose,84,30.0,California,Alexander Valley,Sonoma,,,Starry Night 2007 The Caboose Zinfandel (Alexander Valley),Zinfandel,Starry Night
