Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
2011-10-23,2011102301,4,1,1.0,07:08,8,3128.0,7.0,NYJ,30.0,70.0,10,0,0.0,0.0,NYJ,SD,(7:08) M.Sanchez pass incomplete deep right to D.Keller.,1,0,0,0,,,,0,0,,Pass,M.Sanchez,00-0026898,1,Incomplete Pass,Deep,25,0,0,right,0,,,None,0,,,D.Keller,00-0026170,0,,,,,,,,0,,,0,0,,0,,,,0,3.0,6.0,-3.0,3.0,NYJ,SD,0,None,3,3,3,3,3,0.008220169246611583,0.1419850769238613,0.0028464484308548,0.21781917319839345,0.2527907403411565,0.003581068702253808,0.3727573231568687,0.0,0.0,1.4184532805040104,-0.7412695372934908,1.9197013414738764,-2.6609708787673667,0.44698397937647216,0.5530160206235278,0.4240189169907185,0.5759810830092815,0.44698397937647216,-0.022965062385753687,0.05723637007256421,-0.0802014324583179,2011
2012-09-16,2012091612,16,3,1.0,11:07,12,1567.0,29.0,OAK,1.0,99.0,10,1,0.0,0.0,OAK,MIA,(11:07) D.McFadden up the middle to OAK 2 for 1 yard (K.Misi).,1,1,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,D.McFadden,00-0026144,1,middle,,,None,0,,,,K.Misi,,,,0,,,0,0,,0,,,,0,10.0,7.0,3.0,3.0,MIA,OAK,0,None,3,3,3,3,3,0.005001997620482603,0.2387491692928925,0.027697882795737108,0.3711715049276553,0.14161263719239206,0.0030486204753889913,0.21271818769545145,0.0,0.0,-1.4498813415676248,-0.5597881835711713,,,0.4644928690579391,0.5355071309420609,0.4831922379580042,0.5168077620419959,0.5355071309420609,-0.018699368900065072,,,2012
2009-11-15,2009111512,15,2,2.0,00:41,1,1841.0,5.0,IND,40.0,60.0,7,16,0.0,0.0,IND,NE,(:41) (Shotgun) P.Manning pass incomplete deep left to A.Collie.,1,0,0,0,,,,0,0,,Pass,P.Manning,00-0010346,1,Incomplete Pass,Deep,16,0,0,left,0,,,None,0,,,A.Collie,00-0027092,0,,,,,,,,0,,,0,0,,0,,,,0,14.0,24.0,-10.0,10.0,IND,NE,0,None,2,2,2,2,2,0.6263820811805304,0.03999840816882134,0.0010444264000201056,0.028928827372183108,0.16602323394323526,0.0005813226827192567,0.13704170025249066,0.0,0.0,1.1339383800507927,-0.29661913823842456,0.8805005366672662,-1.1771196749056907,0.21079703177648845,0.7892029682235115,0.20308770836986773,0.7969122916301323,0.21079703177648845,-0.007709323406620726,0.024427203433961514,-0.032136526840582234,2009
2012-09-16,2012091605,1,1,1.0,13:07,14,3487.0,46.0,KC,47.0,53.0,10,24,0.0,0.0,KC,BUF,(13:07) J.Charles left guard to KC 44 for -3 yards (M.Anderson).,1,-3,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,J.Charles,00-0026213,1,left,guard,,None,0,,,,M.Anderson,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,BUF,KC,0,None,3,3,3,3,3,0.0013030134276995151,0.09416151413488506,0.0006794386304568418,0.14606522254024246,0.3093291419665601,0.003548529807615629,0.4449131394925403,0.0,0.0,2.743176484515428,-0.9901451302051378,,,0.4346566529345977,0.5653433470654023,0.4634873735272421,0.5365126264727579,0.5653433470654023,-0.028830720592644462,,,2012
2011-11-27,2011112709,11,2,2.0,05:58,6,2158.0,26.0,PHI,39.0,61.0,1,35,0.0,1.0,PHI,NE,(5:58) L.McCoy right end to NE 39 for 22 yards (S.Moore).,1,22,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,L.McCoy,00-0027029,1,right,end,,None,0,,,,S.Moore,,,,0,,,0,0,,0,,,,0,10.0,21.0,-11.0,11.0,PHI,NE,0,None,1,1,3,1,3,0.2558474075130093,0.07628764540328592,0.0007857040600555182,0.10801373149421337,0.1885778006070609,0.0025474643415110826,0.36794024658086405,0.0,0.0,2.1598795917807903,1.046362620242307,,,0.19136613912725733,0.8086338608727427,0.2180172887235521,0.7819827112764479,0.19136613912725733,0.026651149596294776,,,2011
2016-10-23,2016102305,19,4,1.0,07:45,8,465.0,10.0,MIA,36.0,64.0,10,15,0.0,1.0,MIA,BUF,"(7:45) J.Ajayi right end to MIA 36 for no gain (Z.Brown). PENALTY on BUF-J.Hughes, Face Mask (15 Yards), 15 yards, enforced at MIA 36.",1,0,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,J.Ajayi,00-0031590,1,right,end,,None,0,,,,Z.Brown,,,,0,,,0,0,,1,BUF,,J.Hughes,15,14.0,17.0,-3.0,3.0,MIA,BUF,0,None,3,3,2,3,2,0.1876990007003465,0.09649880526848237,0.0013294578503554064,0.14315302997174448,0.2271441088564142,0.0027901717749649157,0.3413854255776922,0.0,0.0,1.7824841078546485,1.0165505173169276,,,0.4270465383610101,0.57295346163899,0.4713601599799441,0.5286398400200559,0.4270465383610101,0.04431362161893404,,,2016
2012-10-07,2012100702,3,1,3.0,05:07,6,3007.0,43.0,GB,46.0,46.0,3,40,0.0,0.0,IND,GB,(5:07) (Shotgun) A.Luck pass short right to C.Fleener to GB 44 for 2 yards (C.Woodson).,1,2,0,0,,,,0,0,,Pass,A.Luck,00-0029668,1,Complete,Short,2,0,0,right,0,,,None,0,,,C.Fleener,00-0029697,1,,,,C.Woodson,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,IND,GB,0,None,3,3,3,3,3,0.008495160657864301,0.09795152481660878,0.0008193059669366124,0.15038902878063853,0.3348592003801928,0.0036959234379647893,0.4037898559597943,0.0,0.0,2.490282051886899,-1.370016302609765,-1.370016302609765,0.0,0.5688978993581851,0.4311021006418149,0.5257059764424608,0.4742940235575393,0.5688978993581851,-0.04319192291572438,-0.04319192291572438,0.0,2012
2017-10-08,2017100804,27,4,1.0,04:29,5,269.0,17.0,TEN,38.0,62.0,10,23,0.0,0.0,TEN,MIA,(4:29) M.Cassel pass incomplete deep left to R.Matthews.,1,0,0,0,,,,0,0,,Pass,M.Cassel,00-0023662,1,Incomplete Pass,Deep,42,0,0,left,0,,,None,0,,,R.Matthews,00-0029580,0,,,,,,,,0,,,0,0,,0,,,,0,10.0,9.0,1.0,1.0,MIA,TEN,0,None,3,2,3,2,3,0.3256294743533546,0.07528373483267291,0.0009165003559121658,0.11082276492588247,0.19335979767050213,0.002279266259857761,0.2917084616018177,0.0,0.0,1.6231535970529252,-0.48954646293407,2.3598810204332814,-2.8494274833673514,0.3713296487282546,0.6286703512717454,0.39532356029105786,0.6046764397089421,0.6286703512717454,-0.023993911562803283,0.12029650403125215,-0.14429041559405542,2017
2015-12-14,2015121400,12,2,,00:44,1,1844.0,6.0,MIA,15.0,15.0,0,80,0.0,0.0,NYG,MIA,"J.Brown extra point is GOOD, Center-D.Aiken, Holder-B.Wing.",1,0,1,0,Made,,,0,0,,Extra Point,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,16.0,17.0,-1.0,1.0,MIA,NYG,0,None,2,3,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931114949971538,0.0,0.931114949971538,0.0688850500284619,,,0.4975352813470738,0.5024647186529262,0.5149364074230638,0.4850635925769362,0.5024647186529262,-0.01740112607598998,,,2015
2013-10-27,2013102708,3,1,1.0,10:28,11,3328.0,40.0,ARI,48.0,48.0,10,32,0.0,1.0,ATL,ARI,(10:28) M.Ryan pass short middle to D.Davis to ARI 30 for 18 yards (K.Dansby; J.Powers).,1,18,0,0,,,,0,0,,Pass,M.Ryan,00-0026143,1,Complete,Short,14,4,0,middle,0,,,None,0,,,D.Davis,00-0028307,1,,,,K.Dansby,J.Powers,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,ARI,ATL,0,None,3,3,3,3,3,0.0021506968795801397,0.08084004012854443,0.0004302295155209993,0.12455648199306416,0.3233958451668221,0.0034237718276147705,0.4652029344888533,0.0,0.0,3.118179667209545,0.947543725376944,0.7706278165673566,0.1769159088095873,0.41671627344269857,0.5832837265573014,0.3837994627091241,0.6162005372908759,0.5832837265573014,0.032916810733574435,0.025929289348093687,0.006987521385480755,2013
2012-11-04,2012110411,15,4,3.0,07:59,8,479.0,35.0,DAL,18.0,18.0,10,62,0.0,0.0,ATL,DAL,(7:59) (Shotgun) M.Ryan pass incomplete deep right to R.White (B.Carr).,1,0,0,0,,,,0,0,,Pass,M.Ryan,00-0026143,1,Incomplete Pass,Deep,18,0,0,right,0,,,None,0,,,R.White,00-0023462,0,,,,,,,,0,,,0,0,,0,,,,0,13.0,6.0,7.0,7.0,ATL,DAL,0,None,3,3,3,3,3,0.06682863784429857,0.038705296784140884,9.856189764726836e-05,0.06127639322762005,0.5181995220048282,0.003361651516962364,0.3115299367245025,0.0,0.0,3.1967836593788688,-0.6291773942871313,3.8032163406211312,-4.432393734908263,0.8709897922088249,0.129010207791175,0.85717803579984,0.14282196420016002,0.8709897922088249,-0.013811756408985021,0.06153942847059735,-0.07535118487958238,2012
2010-01-03,2010010315,14,3,1.0,08:16,9,1396.0,35.0,TEN,45.0,55.0,10,31,0.0,0.0,TEN,SEA,"(8:16) C.Johnson left tackle to SEA 48 for 7 yards (D.Grant, P.Kerney).",1,7,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,C.Johnson,00-0026164,1,left,tackle,,None,0,,,,D.Grant,P.Kerney,,,0,,,0,0,,0,,,,0,7.0,10.0,-3.0,3.0,SEA,TEN,0,None,3,3,3,3,3,0.004392022410835657,0.09765273303936994,0.0007917589405822537,0.149864833986115,0.303258804016646,0.003505776837619659,0.4405340707688317,0.0,0.0,2.65693090620492,0.4211676082563005,,,0.5281500748331791,0.4718499251668209,0.5152847365194807,0.4847152634805193,0.4718499251668209,0.012865338313698405,,,2009
2012-12-09,2012120904,5,2,1.0,14:47,15,2687.0,7.0,NYJ,18.0,82.0,10,4,0.0,0.0,NYJ,JAC,(14:47) M.Sanchez scrambles left end to NYJ 22 for 4 yards (R.Allen).,1,4,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,M.Sanchez,00-0026898,1,left,end,,None,0,,,,R.Allen,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,JAC,NYJ,0,None,3,3,3,3,3,0.05827044410090978,0.1710746536153176,0.0070358318081147645,0.25855431661914785,0.2000351907832126,0.0032465806812240245,0.3017829823920733,0.0,0.0,0.3819037696603822,-0.09985719352726496,,,0.5174998201612468,0.4825001798387531,0.521273607521098,0.47872639247890203,0.4825001798387531,-0.003773787359851122,,,2012
2017-10-23,2017102300,19,4,1.0,11:10,12,670.0,0.0,WAS,25.0,75.0,10,5,0.0,0.0,WAS,PHI,(11:10) (Shotgun) K.Cousins pass short left to C.Thompson to WAS 30 for 5 yards (B.Graham).,1,5,0,0,,,,0,0,,Pass,K.Cousins,00-0029604,1,Complete,Short,-3,8,0,left,0,,,None,0,,,C.Thompson,00-0030404,1,,,,B.Graham,,,,0,,,0,0,,0,,,,0,17.0,31.0,-14.0,14.0,PHI,WAS,0,None,3,3,3,3,3,0.11480847885845928,0.13808950018144206,0.00370886984109942,0.20678158740443475,0.2126724588365868,0.003086016916596384,0.3208530879613813,0.0,0.0,1.021003674015054,0.07426610472639528,-1.0617018849865818,1.135967989712977,0.91501006864799,0.08498993135201008,0.9158461520405816,0.08415384795941848,0.08498993135201008,-0.0008360833925916134,-0.01275430166981445,0.011918218277222836,2017
2009-12-13,2009121313,12,3,1.0,09:13,10,1453.0,5.0,PHI,24.0,76.0,10,6,0.0,0.0,PHI,NYG,"(9:13) L.McCoy left end to PHI 30 for 6 yards (M.Boley, T.Thomas).",1,6,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,L.McCoy,00-0027029,1,left,end,,None,0,,,,M.Boley,T.Thomas,,,0,,,0,0,,0,,,,0,28.0,24.0,4.0,4.0,NYG,PHI,0,None,2,3,2,3,2,0.005636229505795183,0.16328376210409046,0.0047122676187073866,0.25190373001369065,0.23046682740544905,0.003578670544104893,0.3404185128081624,0.0,0.0,0.8188854813161728,0.30782025448922345,,,0.34009270830713423,0.6599072916928658,0.32882713481266834,0.6711728651873317,0.6599072916928658,0.011265573494465886,,,2009
2014-11-24,2014112400,14,3,2.0,06:23,7,1283.0,40.0,NO,43.0,57.0,5,21,0.0,0.0,NO,BAL,"(6:23) P.Thomas right end to BAL 46 for 11 yards (M.Elam). PENALTY on NO-J.Evans, Offensive Holding, 10 yards, enforced at NO 45.",1,11,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,P.Thomas,00-0024813,1,right,end,,None,0,,,,M.Elam,,,,0,,,0,0,,1,NO,,J.Evans,10,17.0,17.0,0.0,0.0,NO,BAL,0,None,3,3,3,3,3,0.007737256281371272,0.11379073594316726,0.0012787075956878005,0.1729137488766545,0.2884161713543321,0.0037729894566261,0.4120903904921609,0.0,0.0,2.203101361263916,-1.162314174033125,,,0.553800635354308,0.44619936464569204,0.5139641508942128,0.4860358491057872,0.553800635354308,-0.03983648446009525,,,2014
2016-11-20,2016112000,4,1,1.0,01:24,2,2784.0,64.0,BUF,44.0,56.0,10,8,0.0,0.0,BUF,CIN,"(1:24) Direct snap to L.McCoy.  L.McCoy FUMBLES (Aborted) at BUF 39, recovered by BUF-J.Miller at BUF 39. J.Miller to BUF 39 for no gain (C.Dunlap).",1,0,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,L.McCoy,00-0027029,1,,,,None,0,,,,C.Dunlap,,,,1,BUF,J.Miller,0,0,,0,,,,0,7.0,6.0,1.0,1.0,CIN,BUF,0,None,3,3,3,3,3,0.023051645788489557,0.09631804452650344,0.0008245965610659082,0.14554969568151946,0.29579923732538943,0.0033703369517285755,0.4350864431653035,0.0,0.0,2.6302922915644715,-1.2423482098970355,,,0.4096623435304998,0.5903376564695002,0.4514763300018425,0.5485236699981575,0.5903376564695002,-0.04181398647134271,,,2016
2016-12-04,2016120403,14,3,,00:00,0,900.0,40.0,CIN,45.0,45.0,0,22,0.0,0.0,,,END QUARTER 3,1,0,0,0,,,,0,0,,Quarter End,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,CIN,PHI,0,None,2,3,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,2016
2012-10-18,2012101800,1,1,3.0,12:22,13,3442.0,33.0,SF,41.0,59.0,3,34,0.0,1.0,SF,SEA,(12:22) A.Smith pass short right to R.Moss to SEA 45 for 14 yards (R.Sherman). Caught at SEA 47.  2-yds YAC,1,14,0,0,,,,0,0,,Pass,A.Smith,00-0023436,1,Complete,Short,12,2,0,right,0,,,None,0,,,R.Moss,00-0011754,1,,,,R.Sherman,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,SF,SEA,0,None,3,3,3,3,3,0.002009916238273542,0.14471648234982662,0.002118623378260468,0.2222194753310237,0.2544539153682161,0.00391025403153637,0.3705713333028632,0.0,0.0,1.371258566164597,1.9226748105676983,1.790791969585555,0.1318828409821431,0.5249988435188632,0.4750011564811368,0.5870984164772157,0.4129015835227843,0.5249988435188632,0.06209957295835256,0.056276657546375335,0.005822915411977214,2012
2011-12-11,2011121109,1,1,1.0,12:07,13,3427.0,37.0,TEN,25.0,25.0,10,69,0.0,1.0,NO,TEN,(12:07) D.Sproles right end to TEN 11 for 14 yards (J.Babineaux).,1,14,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,D.Sproles,00-0023564,1,right,end,,None,0,,,,J.Babineaux,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,TEN,NO,0,None,3,3,3,3,3,0.0007314496607666823,0.03963550224414922,5.263704499580755e-05,0.06109221340034762,0.3722266283525647,0.0028844082910149545,0.5233771610061609,0.0,0.0,4.239431554057979,0.40538104298408495,,,0.3819647117148968,0.6180352882851032,0.3664995413691065,0.6335004586308935,0.6180352882851032,0.015465170345790313,,,2011
